name,year,rating,genre,description
The Batman,2022,8.3,"Action, Crime, Drama","When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Nightmare Alley,2021,7.1,"Crime, Drama, Thriller",A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.
Licorice Pizza,2021,7.4,"Comedy, Drama, Romance","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
West Side Story,2021,7.3,"Crime, Drama, Musical","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
The Power of the Dog,2021,6.9,"Drama, Romance, Western","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
CODA,2021,8.1,"Comedy, Drama, Music","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
Dune: Part One,2021,8.1,"Action, Adventure, Drama",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while it's heir becomes troubled by visions of a dark future.
The Kashmir Files,2022,8.3,"Drama, History, Thriller","The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990."
Belfast,2021,7.3,"Biography, Drama, History",A young boy and his working-class Belfast family experience the tumultuous late 1960s.
Don't Look Up,2021,7.2,"Comedy, Drama, Sci-Fi",Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.
RRR (Rise Roar Revolt),2022,9.1,"Action, Drama",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920's.
The Dark Knight,2008,9.1,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Doraibu mai kâ,2021,7.6,Drama,A renowned stage actor and director learns to cope with his wife's unexpected passing when he receives an offer to direct a production of Uncle Vanya in Hiroshima.
The Godfather,1972,9.2,"Crime, Drama",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
Verdens verste menneske,2021,7.9,"Comedy, Drama, Romance","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
