name,year,rating,genre,description
Fresh,2022,6.7,"Comedy, Horror, Thriller",The horrors of modern dating seen through one young woman's defiant battle to survive her new boyfriend's unusual appetites.
Nightmare Alley,2021,7.1,"Crime, Drama, Thriller",A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.
The Kashmir Files,2022,8.3,"Drama, History, Thriller","The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990."
The King's Man,2021,6.3,"Action, Adventure, Thriller","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
Scream,I 2022,6.5,"Horror, Mystery, Thriller","25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past."
The Dark Knight,2008,9.1,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
No Time to Die,2021,7.3,"Action, Adventure, Thriller","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
The Last Duel,2021,7.4,"Action, Drama, History",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.
A Walk Among the Tombstones,2014,6.5,"Action, Crime, Drama",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
Joker,I 2019,8.4,"Crime, Drama, Thriller",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
Good Time,2017,7.3,"Crime, Drama, Thriller","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail."
F9,2021,5.2,"Action, Crime, Thriller",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
Halloween Kills,2021,5.6,"Horror, Thriller",Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror after they discover that he is still alive.
Fifty Shades of Grey,2015,4.2,"Drama, Romance, Thriller","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
Nobody,I 2021,7.4,"Action, Crime, Drama","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
Midsommar,2019,7.1,"Drama, Horror, Mystery",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Dunkirk,2017,7.8,"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Old,2021,5.8,"Drama, Horror, Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
Mad Max: Fury Road,2015,8.1,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Tenet,2020,7.4,"Action, Sci-Fi, Thriller","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Last Night in Soho,2021,7.1,"Drama, Horror, Mystery",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.
Prisoners,2013,8.1,"Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Gisaengchung,2019,8.5,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Texas Chainsaw Massacre,2022,4.8,"Crime, Horror, Thriller","After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town."
The Tragedy of Macbeth,2021,7.1,"Drama, Thriller, War","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power."
Inception,2010,8.8,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Knives Out,2019,7.9,"Comedy, Crime, Drama","A detective investigates the death of the patriarch of an eccentric, combative family."
Venom: Let There Be Carnage,2021,6.0,"Action, Adventure, Sci-Fi","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
Red Notice,2021,6.4,"Action, Comedy, Thriller",An Interpol agent tracks the world's most wanted art thief.
Kingsman: The Secret Service,2014,7.7,"Action, Adventure, Comedy","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
